omim_id,accessions,chebi_id
104300,HMDB0000001;HMDB0000008;HMDB0000011,50599;50613;17066
114500,HMDB0000002;HMDB0000008;HMDB0000011;HMDB0000012;HMDB0000014;HMDB0000017;HMDB0000019;HMDB0000020,15725;50613;17066;16450;15698;17405;16530;18101
125853,HMDB0000001;HMDB0000011,50599;17066
168600,HMDB0000022,742324
181500,HMDB0000008;HMDB0000011;HMDB0000020,50613;17066;18101
182940,HMDB0000020,18101
201450,HMDB0000011,17066
201810,HMDB0000011,17066
202010,HMDB0000015,28324
202110,HMDB0000016,16973
203740,HMDB0000011,17066
211980,HMDB0000020,18101
231530,HMDB0000011,17066
246450,HMDB0000011,17066
246900,HMDB0000008,50613
248600,HMDB0000001;HMDB0000019,50599;16530
255120,HMDB0000011,17066
260350,HMDB0000011,17066
261600,HMDB0000020,18101
266150,HMDB0000011,17066
266600,HMDB0000011;HMDB0000012;HMDB0000014;HMDB0000017;HMDB0000020,17066;16450;15698;17405;18101
300615,HMDB0000022,742324
312170,HMDB0000008,50613
600274,HMDB0000008;HMDB0000011,50613;17066
600634,HMDB0000010,1189
601665,HMDB0000001;HMDB0000011,50599;17066
603041,HMDB0000012,16450
605911,HMDB0000011,17066
606054,HMDB0000001,50599
606812,HMDB0000011;HMDB0000020,17066;18101
608782,HMDB0000011,17066
610247,HMDB0000001;HMDB0000005;HMDB0000008;HMDB0000011;HMDB0000012;HMDB0000017;HMDB0000020,50599;30831;50613;17066;16450;17405;18101
